14:57:19: arm_and_takeoff called:
14:57:19: Arming motors
14:57:19: Taking off starts
14:57:19:  Altitude: 6.805
14:57:20:  Altitude: 6.509
14:57:21:  Altitude: 6.534
14:57:22:  Altitude: 6.541
14:57:23:  Altitude: 6.54
14:57:24:  Altitude: 6.541
14:57:25:  Altitude: 6.542
14:57:26:  Altitude: 6.543
14:57:27:  Altitude: 6.543
14:57:28:  Altitude: 6.544
14:57:29:  Altitude: 6.544
14:57:30:  Altitude: 6.545
14:57:31:  Altitude: 6.544
14:57:32:  Altitude: 6.545
14:57:33:  Altitude: 6.545
14:57:34:  Altitude: 6.546
